Name,Email,Location,Role,Skills,Summary,Experience,Education,Projects
Marissa Lewis,markcampos@example.net,"North Michelle, ID",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, Pandas","Marissa Lewis is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, Pandas. Adept at delivering quality work in fast-paced environments.","Java Developer at Gonzalez PLC (2019-2022): Worked on projects involving SQL, Pandas, Spring. | Java Developer at Jensen, Owens and Kirk (2016-2021): Worked on projects involving Git, Spring, Maven. | Java Developer at Pollard, Holloway and Hatfield (2010-2011): Worked on projects involving SQL, Hibernate, Java.","MBA from Gonzalez-Cruz University, Class of 2021","Project 1: Developed using Maven, Spring, Hibernate"
Michael Ward,powelljulia@example.com,"Ramosport, SC",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, MVC, CI/CD","Michael Ward is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, MVC, CI/CD. Adept at delivering quality work in fast-paced environments.","Java Developer at Howard LLC (2019-2020): Worked on projects involving Spring, Git, CI/CD. | Java Developer at Bullock Group (2012-2013): Worked on projects involving Git, SQL, REST APIs.","MBA from Fox-Hall University, Class of 2016","Project 1: Developed using Spring, REST APIs, SQL | Project 2: Developed using CI/CD, MVC, Spring"
Monica Bartlett,katherinechung@example.com,"Brandonborough, NY",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Git, MVC, Machine Learning","Monica Bartlett is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Git, MVC, Machine Learning. Adept at delivering quality work in fast-paced environments.","Java Developer at Armstrong, Anderson and Roberts (2016-2018): Worked on projects involving Machine Learning, Java, REST APIs. | Java Developer at Cooper, Watkins and Taylor (2012-2015): Worked on projects involving Hibernate, SQL, REST APIs.","M.Tech from Hawkins-Franco University, Class of 2013","Project 1: Developed using Java, Hibernate, Spring"
Travis Smith,brett99@example.com,"Jeffreymouth, VT",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Git, Maven","Travis Smith is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Git, Maven. Adept at delivering quality work in fast-paced environments.","Java Developer at Rodriguez Group (2012-2016): Worked on projects involving REST APIs, Spring, Hibernate.","MBA from Pena Group University, Class of 2022","Project 1: Developed using Maven, Java, Hibernate | Project 2: Developed using SQL, Spring, Maven"
James Carroll,carloswatts@example.net,"Jamieside, MI",Java Developer,"Java, Spring, Hibernate, SQL, Maven","James Carroll is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, Maven. Adept at delivering quality work in fast-paced environments.","Java Developer at Neal, Singleton and Wilson (2016-2017): Worked on projects involving Maven, Java, SQL. | Java Developer at Mcintyre-Downs (2012-2013): Worked on projects involving Maven, SQL, Java.","M.Sc from Luna, Cruz and Barber University, Class of 2016","Project 1: Developed using Maven, Spring, Java | Project 2: Developed using Hibernate, Maven, SQL"
Holly Rodriguez,spenceheather@example.net,"Michaelland, WY",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Git","Holly Rodriguez is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Git. Adept at delivering quality work in fast-paced environments.","Java Developer at Ellis-Jensen (2015-2019): Worked on projects involving Git, SQL, Java.","MBA from Williams PLC University, Class of 2018","Project 1: Developed using Git, Java, SQL"
Kyle Rodriguez,poconnell@example.com,"Lake Baileymouth, WI",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, CI/CD","Kyle Rodriguez is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, CI/CD. Adept at delivering quality work in fast-paced environments.","Java Developer at Burnett Group (2016-2020): Worked on projects involving Git, SQL, CI/CD.","B.Tech from Johnson, Lopez and Valencia University, Class of 2010","Project 1: Developed using Maven, Java, Spring | Project 2: Developed using REST APIs, Hibernate, Java"
David Wallace,levi67@example.net,"Rebeccaborough, WY",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, JUnit","David Wallace is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, JUnit. Adept at delivering quality work in fast-paced environments.","Java Developer at Johnson and Sons (2010-2015): Worked on projects involving REST APIs, JUnit, SQL. | Java Developer at Quinn, Jimenez and Clark (2016-2018): Worked on projects involving SQL, Maven, Spring.","B.Tech from Reeves-Fernandez University, Class of 2022","Project 1: Developed using JUnit, Git, Java"
Richard Rojas,shane62@example.net,"Joshuafurt, NM",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Maven","Richard Rojas is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Maven. Adept at delivering quality work in fast-paced environments.","Java Developer at Thomas-Rivas (2012-2015): Worked on projects involving Maven, REST APIs, SQL.","MBA from Cox, Wise and Jefferson University, Class of 2020","Project 1: Developed using Java, Maven, SQL"
Gregory Davis,rickyfitzgerald@example.org,"New Patrickton, WA",Java Developer,"Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, Python, AWS","Gregory Davis is an experienced Java Developer with skills in Java, Spring, Hibernate, SQL, REST APIs, Git, Maven, Python, AWS. Adept at delivering quality work in fast-paced environments.","Java Developer at Cooper Inc (2010-2012): Worked on projects involving Spring, Hibernate, Maven.","B.Sc from Gonzalez and Sons University, Class of 2014","Project 1: Developed using REST APIs, Python, Spring"
Bryan Hart,daniel93@example.net,"Willieside, MA",Testing,"Selenium, JUnit, TestNG, Bug Tracking, Appium, SAP Fiori","Bryan Hart is an experienced Testing with skills in Selenium, JUnit, TestNG, Bug Tracking, Appium, SAP Fiori. Adept at delivering quality work in fast-paced environments.","Testing at Stewart and Sons (2013-2017): Worked on projects involving SAP Fiori, Selenium, JUnit. | Testing at Davis LLC (2012-2013): Worked on projects involving TestNG, JUnit, Selenium. | Testing at Morgan, Taylor and Lee (2016-2018): Worked on projects involving SAP Fiori, Selenium, Bug Tracking.","M.Sc from Jackson, Weber and Kerr University, Class of 2016","Project 1: Developed using JUnit, TestNG, SAP Fiori | Project 2: Developed using TestNG, JUnit, Selenium"
Jeffrey Nguyen,garciathomas@example.net,"East Michael, MH",Testing,"Selenium, JUnit, TestNG, Manual Testing, Automation, Entity Framework, R","Jeffrey Nguyen is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Automation, Entity Framework, R. Adept at delivering quality work in fast-paced environments.","Testing at Carlson, Oconnell and Barnett (2012-2014): Worked on projects involving Selenium, JUnit, Automation.","B.Tech from Green, Perry and Hall University, Class of 2022","Project 1: Developed using TestNG, Selenium, Entity Framework"
Steven Thomas,cmonroe@example.net,"Valdezville, NJ",Testing,"JUnit, TestNG, Manual Testing, Bug Tracking, Pig, Oracle","Steven Thomas is an experienced Testing with skills in JUnit, TestNG, Manual Testing, Bug Tracking, Pig, Oracle. Adept at delivering quality work in fast-paced environments.","Testing at Yang, Marsh and Forbes (2020-2025): Worked on projects involving Manual Testing, JUnit, TestNG.","B.Tech from White Ltd University, Class of 2019","Project 1: Developed using TestNG, Pig, Oracle | Project 2: Developed using Manual Testing, Pig, TestNG"
Todd Watson,frenchpaula@example.org,"Michelestad, PR",Testing,"Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation","Todd Watson is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation. Adept at delivering quality work in fast-paced environments.","Testing at Pierce, Pacheco and Fitzgerald (2012-2017): Worked on projects involving Manual Testing, JUnit, Bug Tracking. | Testing at Hicks-Thomas (2019-2020): Worked on projects involving Selenium, Manual Testing, TestNG. | Testing at Arroyo-Johnson (2016-2020): Worked on projects involving TestNG, Bug Tracking, Selenium.","B.Tech from Allen Inc University, Class of 2009","Project 1: Developed using Selenium, JUnit, Automation"
Christopher Estrada,alexandriayoung@example.com,"New Crystalmouth, RI",Testing,"Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation","Christopher Estrada is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation. Adept at delivering quality work in fast-paced environments.","Testing at Cook, Fleming and Green (2020-2022): Worked on projects involving Bug Tracking, JUnit, Selenium. | Testing at Perry-Ward (2010-2014): Worked on projects involving TestNG, Bug Tracking, Manual Testing.","M.Tech from Oconnell Ltd University, Class of 2012","Project 1: Developed using TestNG, Automation, Manual Testing | Project 2: Developed using Selenium, TestNG, Automation"
James White,melvinhuffman@example.com,"Andrewmouth, VT",Testing,"Selenium, JUnit, Manual Testing, Bug Tracking, Automation, Java","James White is an experienced Testing with skills in Selenium, JUnit, Manual Testing, Bug Tracking, Automation, Java. Adept at delivering quality work in fast-paced environments.","Testing at Hoffman-Vega (2020-2025): Worked on projects involving Selenium, Java, JUnit. | Testing at Fisher-Blackwell (2012-2013): Worked on projects involving Automation, Bug Tracking, Selenium. | Testing at Johnson, Hall and Martin (2015-2019): Worked on projects involving Selenium, Automation, Java.","MBA from Coleman-Mccullough University, Class of 2015","Project 1: Developed using Automation, Bug Tracking, Selenium"
Patricia Campos,bethterry@example.org,"Jasonville, AS",Testing,"Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation, Selenium, Terraform","Patricia Campos is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation, Selenium, Terraform. Adept at delivering quality work in fast-paced environments.","Testing at Taylor LLC (2010-2013): Worked on projects involving Automation, Terraform, Bug Tracking. | Testing at Ortiz, Yang and Mata (2011-2013): Worked on projects involving Selenium, Selenium, Automation. | Testing at Kelley-Hardin (2014-2017): Worked on projects involving Bug Tracking, Selenium, Terraform.","B.Tech from Simon, Mendoza and Turner University, Class of 2022","Project 1: Developed using Selenium, TestNG, JUnit | Project 2: Developed using JUnit, TestNG, Automation"
Diane Cole,jonathanclark@example.net,"New Kayla, AZ",Testing,"Selenium, JUnit, Manual Testing, Bug Tracking, Automation, Visual Studio","Diane Cole is an experienced Testing with skills in Selenium, JUnit, Manual Testing, Bug Tracking, Automation, Visual Studio. Adept at delivering quality work in fast-paced environments.","Testing at Roberts, Roberts and Shelton (2017-2020): Worked on projects involving Automation, Selenium, Bug Tracking. | Testing at Edwards and Sons (2013-2018): Worked on projects involving JUnit, Selenium, Automation. | Testing at Collins, Stone and Lewis (2010-2013): Worked on projects involving Manual Testing, Automation, JUnit.","M.Tech from Peterson, Williams and Peters University, Class of 2020","Project 1: Developed using Selenium, JUnit, Visual Studio | Project 2: Developed using Bug Tracking, Selenium, JUnit"
Lauren Walker,awells@example.org,"Phillipchester, MO",Testing,"Selenium, JUnit, TestNG, Bug Tracking, Automation, MapReduce","Lauren Walker is an experienced Testing with skills in Selenium, JUnit, TestNG, Bug Tracking, Automation, MapReduce. Adept at delivering quality work in fast-paced environments.","Testing at Robertson-Fleming (2015-2020): Worked on projects involving Bug Tracking, JUnit, Selenium.","B.Sc from Cox-Burton University, Class of 2017","Project 1: Developed using TestNG, MapReduce, Automation | Project 2: Developed using Bug Tracking, Selenium, Automation"
Hector Johnson,jnewman@example.net,"North Ashleyshire, MS",Testing,"Selenium, JUnit, TestNG, Manual Testing, Automation, TestNG","Hector Johnson is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Automation, TestNG. Adept at delivering quality work in fast-paced environments.","Testing at Escobar Group (2010-2014): Worked on projects involving Selenium, Automation, Manual Testing.","B.Sc from Jackson, Mcdaniel and Hughes University, Class of 2010","Project 1: Developed using Automation, Manual Testing, JUnit | Project 2: Developed using Selenium, TestNG, TestNG"
Vernon Smith,panderson@example.com,"New Lauraton, MA",Testing,"Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation, React","Vernon Smith is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation, React. Adept at delivering quality work in fast-paced environments.","Testing at Hodge, Paul and Cisneros (2012-2013): Worked on projects involving Manual Testing, React, Bug Tracking. | Testing at Wright-Morales (2013-2014): Worked on projects involving Bug Tracking, Automation, React.","MBA from Rodriguez-Savage University, Class of 2017","Project 1: Developed using Manual Testing, React, Automation"
Daniel Ray,torreschristina@example.org,"Dominicport, MO",Testing,"Selenium, JUnit, TestNG, Manual Testing, Automation","Daniel Ray is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Automation. Adept at delivering quality work in fast-paced environments.","Testing at Schneider-Hinton (2013-2015): Worked on projects involving Automation, TestNG, JUnit. | Testing at Sanchez, Edwards and Dorsey (2018-2023): Worked on projects involving Automation, TestNG, Selenium.","B.Tech from Harrison, Hill and Manning University, Class of 2018","Project 1: Developed using Selenium, Automation, Manual Testing | Project 2: Developed using Automation, Manual Testing, Selenium"
Adam Norris Jr.,alisonpoole@example.net,"Liuland, FL",Testing,"Selenium, JUnit, TestNG, Bug Tracking, Automation, REST APIs, Java","Adam Norris Jr. is an experienced Testing with skills in Selenium, JUnit, TestNG, Bug Tracking, Automation, REST APIs, Java. Adept at delivering quality work in fast-paced environments.","Testing at Thompson, Conner and Stewart (2018-2020): Worked on projects involving Bug Tracking, Selenium, REST APIs. | Testing at Holmes-Gilmore (2013-2016): Worked on projects involving JUnit, Selenium, TestNG.","M.Tech from Velez, Miller and Cook University, Class of 2009","Project 1: Developed using Bug Tracking, REST APIs, Selenium"
Diana Allison,pagecrystal@example.com,"Nguyenview, AK",Testing,"JUnit, TestNG, Manual Testing, Bug Tracking, Matplotlib","Diana Allison is an experienced Testing with skills in JUnit, TestNG, Manual Testing, Bug Tracking, Matplotlib. Adept at delivering quality work in fast-paced environments.","Testing at Jones, Bush and Price (2014-2018): Worked on projects involving Manual Testing, JUnit, Bug Tracking. | Testing at Garrison-Graham (2018-2021): Worked on projects involving Manual Testing, Matplotlib, TestNG.","B.Tech from Fowler-Riddle University, Class of 2015","Project 1: Developed using TestNG, Matplotlib, Bug Tracking | Project 2: Developed using Bug Tracking, Manual Testing, Matplotlib"
Christie Lopez,youngshelby@example.com,"Hughesview, CA",Testing,"Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation, SQL","Christie Lopez is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation, SQL. Adept at delivering quality work in fast-paced environments.","Testing at Lee and Sons (2016-2021): Worked on projects involving SQL, Manual Testing, TestNG.","M.Sc from Matthews-Kelley University, Class of 2012","Project 1: Developed using JUnit, SQL, TestNG"
Angela Murray,barronjames@example.com,"New Robertburgh, TX",Testing,"Selenium, TestNG, Manual Testing, Bug Tracking, Automation","Angela Murray is an experienced Testing with skills in Selenium, TestNG, Manual Testing, Bug Tracking, Automation. Adept at delivering quality work in fast-paced environments.","Testing at King and Sons (2017-2019): Worked on projects involving TestNG, Automation, Bug Tracking. | Testing at Parker and Sons (2018-2021): Worked on projects involving Selenium, Bug Tracking, Automation. | Testing at Burke, Greer and Moore (2014-2017): Worked on projects involving Bug Tracking, Automation, Selenium.","B.Sc from Hayes-Phillips University, Class of 2017","Project 1: Developed using Bug Tracking, TestNG, Automation | Project 2: Developed using TestNG, Bug Tracking, Automation"
Linda Greene,ashleygutierrez@example.com,"West Austinbury, WY",Testing,"Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation, Ethereum, Flask","Linda Greene is an experienced Testing with skills in Selenium, JUnit, TestNG, Manual Testing, Bug Tracking, Automation, Ethereum, Flask. Adept at delivering quality work in fast-paced environments.","Testing at Miller, Perkins and Pierce (2014-2016): Worked on projects involving Manual Testing, Ethereum, Automation. | Testing at Edwards and Sons (2020-2025): Worked on projects involving Flask, Bug Tracking, TestNG.","B.Sc from Black, Tran and Carlson University, Class of 2017","Project 1: Developed using JUnit, Flask, Manual Testing | Project 2: Developed using Flask, Ethereum, TestNG"
Nicole Douglas,xwalker@example.net,"North Danielport, NM",Testing,"TestNG, Manual Testing, Bug Tracking, Automation, Bootstrap","Nicole Douglas is an experienced Testing with skills in TestNG, Manual Testing, Bug Tracking, Automation, Bootstrap. Adept at delivering quality work in fast-paced environments.","Testing at Waters-Young (2012-2013): Worked on projects involving TestNG, Bug Tracking, Automation.","MBA from Johnson and Sons University, Class of 2022","Project 1: Developed using Bug Tracking, Manual Testing, TestNG | Project 2: Developed using Automation, Bootstrap, Manual Testing"
Joseph Jones,martinjoshua@example.net,"Port Bryanhaven, TN",Testing,"Selenium, TestNG, Manual Testing, Bug Tracking, Automation","Joseph Jones is an experienced Testing with skills in Selenium, TestNG, Manual Testing, Bug Tracking, Automation. Adept at delivering quality work in fast-paced environments.","Testing at Newman, Elliott and Jackson (2016-2019): Worked on projects involving Bug Tracking, TestNG, Manual Testing. | Testing at Anderson LLC (2019-2021): Worked on projects involving TestNG, Selenium, Bug Tracking.","B.Sc from Owen LLC University, Class of 2014","Project 1: Developed using Bug Tracking, TestNG, Manual Testing"
Jennifer Greer,edavis@example.org,"Port Tiffanychester, NM",Testing,"Selenium, TestNG, Bug Tracking, Automation, HTML","Jennifer Greer is an experienced Testing with skills in Selenium, TestNG, Bug Tracking, Automation, HTML. Adept at delivering quality work in fast-paced environments.","Testing at Mckee Group (2013-2017): Worked on projects involving HTML, Automation, Selenium.","B.Tech from Reid, Fernandez and Rodriguez University, Class of 2015","Project 1: Developed using TestNG, Selenium, Bug Tracking | Project 2: Developed using Selenium, HTML, Bug Tracking"
Jeffrey Crawford,breyes@example.com,"New Michele, TN",DevOps Engineer,"Docker, Jenkins, CI/CD, Terraform, AWS","Jeffrey Crawford is an experienced DevOps Engineer with skills in Docker, Jenkins, CI/CD, Terraform, AWS. Adept at delivering quality work in fast-paced environments.","DevOps Engineer at Reese-Davis (2011-2015): Worked on projects involving Jenkins, CI/CD, AWS. | DevOps Engineer at Maldonado-Robinson (2012-2014): Worked on projects involving Terraform, Jenkins, Docker. | DevOps Engineer at Edwards PLC (2020-2025): Worked on projects involving Terraform, AWS, Docker.","B.Sc from Mejia Group University, Class of 2018","Project 1: Developed using AWS, Docker, Terraform"
Jessica Nguyen,brittany65@example.net,"Woodstad, IN",DevOps Engineer,"Docker, Kubernetes, Jenkins, CI/CD, Terraform, AWS, Linux, MySQL","Jessica Nguyen is an experienced DevOps Engineer with skills in Docker, Kubernetes, Jenkins, CI/CD, Terraform, AWS, Linux, MySQL. Adept at delivering quality work in fast-paced environments.","DevOps Engineer at Wilson-Robinson (2020-2021): Worked on projects involving Linux, MySQL, CI/CD. | DevOps Engineer at Conway, Miller and Austin (2017-2021): Worked on projects involving CI/CD, Terraform, AWS. | DevOps Engineer at Brown-Tran (2016-2019): Worked on projects involving Jenkins, Docker, Linux.","B.Tech from Allen, Romero and Miller University, Class of 2021","Project 1: Developed using AWS, Terraform, CI/CD"
Sarah Lopez,huangjacqueline@example.net,"Michaelmouth, GU",DevOps Engineer,"Kubernetes, Jenkins, CI/CD, Terraform, AWS, Linux","Sarah Lopez is an experienced DevOps Engineer with skills in Kubernetes, Jenkins, CI/CD, Terraform, AWS, Linux. Adept at delivering quality work in fast-paced environments.","DevOps Engineer at Walters, Quinn and Luna (2020-2025): Worked on projects involving Linux, AWS, Terraform.","M.Tech from Carrillo-Fox University, Class of 2011","Project 1: Developed using Linux, Terraform, Jenkins"
Lauren Jefferson,jonesgabriel@example.com,"Sabrinafurt, AZ",DevOps Engineer,"Docker, Kubernetes, Jenkins, CI/CD, Terraform, AWS, SQL","Lauren Jefferson is an experienced DevOps Engineer with skills in Docker, Kubernetes, Jenkins, CI/CD, Terraform, AWS, SQL. Adept at delivering quality work in fast-paced environments.","DevOps Engineer at Hayes-Yates (2016-2017): Worked on projects involving AWS, Terraform, Jenkins. | DevOps Engineer at Stevenson LLC (2011-2013): Worked on projects involving Kubernetes, Terraform, SQL. | DevOps Engineer at Ortiz-Jackson (2020-2025): Worked on projects involving Terraform, CI/CD, SQL.","M.Tech from Weeks-Moore University, Class of 2014","Project 1: Developed using SQL, Docker, Jenkins | Project 2: Developed using Jenkins, SQL, Terraform"
Patricia Dennis,brian17@example.org,"Lake Ronnie, TN",DevOps Engineer,"Docker, Kubernetes, Jenkins, CI/CD, Linux","Patricia Dennis is an experienced DevOps Engineer with skills in Docker, Kubernetes, Jenkins, CI/CD, Linux. Adept at delivering quality work in fast-paced environments.","DevOps Engineer at Nelson-Rodriguez (2018-2022): Worked on projects involving Jenkins, CI/CD, Kubernetes.","M.Tech from Walsh, Williams and Davies University, Class of 2012","Project 1: Developed using CI/CD, Linux, Jenkins | Project 2: Developed using Jenkins, Kubernetes, Docker"
Robert Allen,wheelercheryl@example.org,"West Jodi, NM",DevOps Engineer,"Docker, CI/CD, Terraform, AWS, Linux, ETL Testing","Robert Allen is an experienced DevOps Engineer with skills in Docker, CI/CD, Terraform, AWS, Linux, ETL Testing. Adept at delivering quality work in fast-paced environments.","DevOps Engineer at Hartman PLC (2015-2017): Worked on projects involving Linux, ETL Testing, CI/CD. | DevOps Engineer at Li LLC (2015-2019): Worked on projects involving Terraform, Linux, ETL Testing. | DevOps Engineer at Mendoza, Smith and Lutz (2016-2017): Worked on projects involving CI/CD, Terraform, Linux.","MBA from Jones, Ritter and Hubbard University, Class of 2009","Project 1: Developed using Docker, AWS, Terraform"
